name,date,m,n,d,solution_id,algorithm,objectiveValue,objectiveFunction,job,operation,machine,processing_time,starttime,endtime,microruns,timeSeconds,memoryBytes,metadata,status
testsWithRecirculation/n5m5n_i10i1.txt,2023-11-20T15:10:16.097,5,5,0,10641514429507606657,Branch and Bound - 1|R_j|Lmax,93,Cmax_function,4,7,3,7,61,68,2936255,148.6666632,57077956632,"Dict{String, Any}(""terminalNodes"" => 5, ""nodesGenerated"" => 63624, ""skippedNodes"" => 23070)",OK
testsWithRecirculation/n5m5n_i10i1.txt,2023-11-20T15:10:16.097,5,5,0,10641514429507606657,Branch and Bound - 1|R_j|Lmax,93,Cmax_function,4,8,5,5,73,78,2936255,148.6666632,57077956632,"Dict{String, Any}(""terminalNodes"" => 5, ""nodesGenerated"" => 63624, ""skippedNodes"" => 23070)",OK
testsWithRecirculation/n5m5n_i10i1.txt,2023-11-20T15:10:16.097,5,5,0,10641514429507606657,Branch and Bound - 1|R_j|Lmax,93,Cmax_function,4,9,1,7,78,85,2936255,148.6666632,57077956632,"Dict{String, Any}(""terminalNodes"" => 5, ""nodesGenerated"" => 63624, ""skippedNodes"" => 23070)",OK
testsWithRecirculation/n5m5n_i10i1.txt,2023-11-20T15:10:16.097,5,5,0,10641514429507606657,Branch and Bound - 1|R_j|Lmax,93,Cmax_function,4,10,4,8,85,93,2936255,148.6666632,57077956632,"Dict{String, Any}(""terminalNodes"" => 5, ""nodesGenerated"" => 63624, ""skippedNodes"" => 23070)",OK
testsWithRecirculation/n5m5n_i10i1.txt,2023-11-20T15:10:16.097,5,5,0,10641514429507606657,Branch and Bound - 1|R_j|Lmax,93,Cmax_function,5,1,4,9,0,9,2936255,148.6666632,57077956632,"Dict{String, Any}(""terminalNodes"" => 5, ""nodesGenerated"" => 63624, ""skippedNodes"" => 23070)",OK
testsWithRecirculation/n5m5n_i10i1.txt,2023-11-20T15:10:16.097,5,5,0,10641514429507606657,Branch and Bound - 1|R_j|Lmax,93,Cmax_function,5,2,1,1,24,25,2936255,148.6666632,57077956632,"Dict{String, Any}(""terminalNodes"" => 5, ""nodesGenerated"" => 63624, ""skippedNodes"" => 23070)",OK
testsWithRecirculation/n5m5n_i10i1.txt,2023-11-20T15:10:16.097,5,5,0,10641514429507606657,Branch and Bound - 1|R_j|Lmax,93,Cmax_function,5,3,4,4,34,38,2936255,148.6666632,57077956632,"Dict{String, Any}(""terminalNodes"" => 5, ""nodesGenerated"" => 63624, ""skippedNodes"" => 23070)",OK
testsWithRecirculation/n5m5n_i10i1.txt,2023-11-20T15:10:16.097,5,5,0,10641514429507606657,Branch and Bound - 1|R_j|Lmax,93,Cmax_function,5,4,2,1,38,39,2936255,148.6666632,57077956632,"Dict{String, Any}(""terminalNodes"" => 5, ""nodesGenerated"" => 63624, ""skippedNodes"" => 23070)",OK
testsWithRecirculation/n5m5n_i10i1.txt,2023-11-20T15:10:16.097,5,5,0,10641514429507606657,Branch and Bound - 1|R_j|Lmax,93,Cmax_function,5,5,1,10,43,53,2936255,148.6666632,57077956632,"Dict{String, Any}(""terminalNodes"" => 5, ""nodesGenerated"" => 63624, ""skippedNodes"" => 23070)",OK
testsWithRecirculation/n5m5n_i10i1.txt,2023-11-20T15:10:16.097,5,5,0,10641514429507606657,Branch and Bound - 1|R_j|Lmax,93,Cmax_function,5,6,2,7,61,68,2936255,148.6666632,57077956632,"Dict{String, Any}(""terminalNodes"" => 5, ""nodesGenerated"" => 63624, ""skippedNodes"" => 23070)",OK
